repo,stars,primary_language,releases,age_years,releases_por_ano,sem_release
geekan/HowToLiveLonger,35101,N/A,0,4.33,0.0,True
unknwon/the-way-to-go_ZH_CN,35037,Go,0,13.39,0.0,True
netty/netty,35031,Java,13,15.77,0.82,False
utmapp/UTM,35026,Swift,130,7.35,17.69,False
bumptech/glide,35025,Java,59,13.1,4.5,False
sorrycc/awesome-javascript,35018,N/A,0,12.13,0.0,True
hehonghui/awesome-english-ebooks,34948,CSS,0,4.13,0.0,True
DayuanJiang/next-ai-draw-io,34939,TypeScript,18,1.4,12.86,False
zellij-org/zellij,34933,Rust,69,5.95,11.6,False
awesome-foss/awesome-sysadmin,34912,N/A,0,11.65,0.0,True
laravel/framework,34870,PHP,963,13.59,70.86,False
gitroomhq/postiz-app,34733,TypeScript,199,3.1,64.19,False
facebookresearch/detectron2,34667,Python,10,6.94,1.44,False
esengine/DeepSeek-Reasonix,34640,Go,178,0.32,556.25,False
qishibo/AnotherRedisDesktopManager,34637,JavaScript,54,7.6,7.11,False
TheAlgorithms/C-Plus-Plus,34582,C++,0,10.08,0.0,True
BVLC/caffe,34562,C++,14,12.92,1.08,False
lissy93/web-check,34522,TypeScript,3,3.14,0.96,False
v2fly/v2ray-core,34481,Go,130,7.34,17.71,False
ocrmypdf/OCRmyPDF,34458,Python,62,12.65,4.9,False
kovidgoyal/kitty,34425,Python,143,9.83,14.55,False
nothings/stb,34410,C,0,12.22,0.0,True
SeleniumHQ/selenium,34372,Java,120,13.58,8.84,False
derailed/k9s,34368,Go,258,7.55,34.17,False
CMU-Perceptual-Computing-Lab/openpose,34366,C++,15,9.31,1.61,False
raysan5/raylib,34345,C,25,12.81,1.95,False
xitu/gold-miner,34330,N/A,0,10.78,0.0,True
jaredpalmer/formik,34329,TypeScript,200,9.17,21.81,False
huggingface/diffusers,34324,Python,92,4.21,21.85,False
anthropics/financial-services,34300,Python,0,0.47,0.0,True
python-poetry/poetry,34289,Python,151,8.46,17.85,False
nodejs/node-v0.x-archive,34288,N/A,0,17.22,0.0,True
TheAlgorithms/JavaScript,34216,JavaScript,0,9.09,0.0,True
swc-project/swc,34178,Rust,816,8.65,94.34,False
openai/CLIP,34175,Jupyter Notebook,0,5.66,0.0,True
balena-io/etcher,34164,TypeScript,291,10.8,26.94,False
ehang-io/nps,34162,Go,59,7.78,7.58,False
backstage/backstage,34150,TypeScript,541,6.56,82.47,False
zenorocha/clipboard.js,34125,JavaScript,42,10.91,3.85,False
testerSunshine/12306,34096,Python,1,9.25,0.11,False
seaweedfs/seaweedfs,34083,Go,315,12.09,26.05,False
xkcoding/spring-boot-demo,34078,Java,0,8.76,0.0,True
zxing/zxing,34068,Java,32,14.84,2.16,False
lllyasviel/ControlNet,34068,Python,0,3.54,0.0,True
fish-shell/fish-shell,34022,Rust,67,14.27,4.7,False
chenfei-wu/TaskMatrix,34014,Python,0,3.46,0.0,True
aristocratos/btop,34009,C++,55,5.28,10.42,False
OpenBMB/ChatDev,34004,Python,12,2.97,4.04,False
qdrant/qdrant,34003,Rust,116,6.21,18.68,False
MonitorControl/MonitorControl,33981,Swift,26,8.91,2.92,False
atlassian/react-beautiful-dnd,33952,JavaScript,68,9.02,7.54,False
lightpanda-io/browser,33931,Zig,20,3.52,5.68,False
pcottle/learnGitBranching,33885,JavaScript,0,14.0,0.0,True
NginxProxyManager/nginx-proxy-manager,33878,TypeScript,88,8.65,10.17,False
carbon-language/carbon-lang,33857,C++,762,6.3,120.95,False
lib-pku/libpku,33841,TeX,0,7.73,0.0,True
TabbyML/tabby,33826,Rust,249,3.42,72.81,False
explosion/spaCy,33824,Python,137,12.12,11.3,False
halfrost/LeetCode-Go,33796,Go,5,9.08,0.55,False
agentscope-ai/QwenPaw,33780,Python,107,0.47,227.66,False
SerenityOS/serenity,33757,C++,0,7.7,0.0,True
k3s-io/k3s,33740,Go,1023,8.21,124.6,False
Pythagora-io/gpt-pilot,33696,Python,0,3.0,0.0,True
mli/paper-reading,33692,N/A,0,4.82,0.0,True
alibaba/easyexcel,33673,Java,14,8.52,1.64,False
anoma/anoma,33669,Elixir,14,5.53,2.53,False
K-Dense-AI/scientific-agent-skills,33646,Python,100,0.82,121.95,False
Blankj/AndroidUtilCode,33637,Java,117,10.04,11.65,False
valinet/ExplorerPatcher,33633,C,300,5.02,59.76,False
bayandin/awesome-awesomeness,33610,Ruby,0,12.11,0.0,True
anthropics/claude-plugins-official,33577,Python,0,0.73,0.0,True
shadowsocks/shadowsocks,33563,Python,2,14.32,0.14,False
apache/kafka,33547,Java,0,15.0,0.0,True
binwiederhier/ntfy,33537,Go,108,4.81,22.45,False
tinygrad/tinygrad,33453,Python,15,5.82,2.58,False
XX-net/XX-Net,33451,Python,390,11.58,33.68,False
microsoft/WSL,33418,C++,107,10.36,10.33,False
AFNetworking/AFNetworking,33397,Objective-C,40,15.21,2.63,False
nicolargo/glances,33363,Python,61,14.7,4.15,False
lutzroeder/netron,33360,JavaScript,9,15.64,0.58,False
mckaywrigley/chatbot-ui,33337,TypeScript,0,3.43,0.0,True
remix-run/remix,33313,TypeScript,633,5.8,109.14,False
google/comprehensive-rust,33307,Rust,0,3.65,0.0,True
alibaba/nacos,33272,Java,98,8.17,12.0,False
MetaCubeX/mihomo,33269,Python,62,5.24,11.83,False
zeromicro/go-zero,33259,Go,154,6.02,25.58,False
motiondivision/motion,33256,TypeScript,0,7.75,0.0,True
certbot/certbot,33203,Python,72,11.76,6.12,False
bilibili/ijkplayer,33195,C,0,13.2,0.0,True
waydabber/BetterDisplay,33191,N/A,132,4.81,27.44,False
langfuse/langfuse,33188,TypeScript,653,3.24,201.54,False
dgtlmoon/changedetection.io,33187,Python,216,5.55,38.92,False
qier222/YesPlayMusic,33153,Vue,32,5.85,5.47,False
linshenkx/prompt-optimizer,33146,TypeScript,47,1.51,31.13,False
vbenjs/vue-vben-admin,33139,Vue,63,6.1,10.33,False
cursor/cursor,33118,N/A,0,3.43,0.0,True
pear-devs/pear-desktop,33083,TypeScript,88,7.32,12.02,False
immutable-js/immutable-js,33039,TypeScript,99,12.12,8.17,False
binarywang/WxJava,33021,Java,31,10.61,2.92,False
adobe/brackets,33012,JavaScript,69,14.69,4.7,False
ibraheemdev/modern-unix,33010,N/A,0,5.59,0.0,True
Leey21/awesome-ai-research-writing,33002,N/A,0,0.54,0.0,True
datawhalechina/happy-llm,32991,Jupyter Notebook,3,2.22,1.35,False
gulpjs/gulp,32952,JavaScript,24,13.12,1.83,False
tokio-rs/tokio,32930,Rust,155,9.93,15.61,False
0xAX/linux-insides,32919,Python,0,11.61,0.0,True
OWASP/CheatSheetSeries,32900,Python,0,7.65,0.0,True
