repo,stars,created_at,age_years,merged_pull_requests,releases,pushed_at,updated_at,days_since_last_push,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
huiyadanli/RevokeMsgPatcher,38478,2019-07-21T15:12:52Z,7.07,14,21,2026-08-16T12:51:44Z,2026-08-16T14:31:36Z,0.14,0.07,C#,1049,993,0.9466
httpie/cli,38423,2012-02-25T12:39:13Z,14.47,406,47,2024-12-17T17:30:35Z,2026-08-16T13:05:53Z,606.95,0.13,Python,910,724,0.7956
google/langextract,38403,2025-07-08T20:46:06Z,1.1,120,18,2026-08-11T15:31:39Z,2026-08-16T15:40:15Z,5.03,0.03,Python,195,121,0.6205
dotnet/aspnetcore,38374,2014-03-11T06:09:42Z,12.43,19799,296,2026-08-15T10:18:20Z,2026-08-16T13:33:44Z,1.25,0.11,C#,39726,35940,0.9047
istio/istio,38353,2016-11-18T23:57:21Z,9.74,30555,447,2026-08-14T22:18:11Z,2026-08-16T08:10:47Z,1.75,0.34,Go,22082,21696,0.9825
portainer/portainer,38254,2016-05-19T20:15:28Z,10.24,4786,189,2026-08-15T13:10:50Z,2026-08-16T15:15:47Z,1.13,0.04,TypeScript,6116,5418,0.8859
umami-software/umami,38208,2020-07-17T07:59:00Z,6.08,959,109,2026-08-14T17:32:16Z,2026-08-16T15:57:19Z,1.95,0.01,TypeScript,2227,2186,0.9816
sqlmapproject/sqlmap,38201,2012-06-26T09:52:15Z,14.14,185,11,2026-08-15T22:17:32Z,2026-08-16T12:03:57Z,0.75,0.18,Python,5434,5408,0.9952
PhilJay/MPAndroidChart,38196,2014-04-25T14:29:47Z,12.31,191,44,2025-06-05T07:06:39Z,2026-08-16T15:26:27Z,437.38,0.04,Java,4965,2898,0.5837
impress/impress.js,38173,2011-12-28T22:23:19Z,14.63,125,15,2026-07-23T07:05:16Z,2026-08-16T15:26:50Z,24.38,0.04,JavaScript,485,434,0.8948
frappe/erpnext,38165,2011-06-08T08:20:56Z,15.19,32102,1784,2026-08-16T15:11:27Z,2026-08-16T15:21:47Z,0.05,0.04,Python,18590,16744,0.9007
huihut/interview,38123,2018-02-09T09:49:48Z,8.51,36,0,2025-08-24T07:01:54Z,2026-08-16T14:54:34Z,357.39,0.06,C++,67,65,0.9701
docker/compose,38078,2013-12-09T11:40:58Z,12.68,3946,283,2026-08-16T15:11:36Z,2026-08-16T14:08:23Z,0.05,0.09,Go,8383,8318,0.9922
ueberdosis/tiptap,38034,2018-08-20T19:58:58Z,7.99,1795,984,2026-08-15T02:17:24Z,2026-08-16T15:49:43Z,1.58,0.02,TypeScript,3674,2926,0.7964
xyflow/xyflow,38028,2019-07-15T14:47:30Z,7.09,1591,384,2026-08-13T09:16:18Z,2026-08-16T14:17:32Z,3.29,0.08,TypeScript,2411,2320,0.9623
harness/harness,37962,2014-02-07T07:54:44Z,12.52,1060,59,2026-08-14T13:58:20Z,2026-08-16T16:06:45Z,2.1,0.01,Go,2034,1940,0.9538
github/awesome-copilot,37902,2025-06-11T16:57:39Z,1.18,1249,0,2026-08-14T19:16:46Z,2026-08-16T13:27:14Z,1.88,0.12,Python,460,424,0.9217
hyprwm/Hyprland,37901,2022-03-16T19:49:13Z,4.42,2924,117,2026-08-15T15:18:00Z,2026-08-16T15:11:59Z,1.04,0.05,C++,7712,7662,0.9935
bojieli/ai-agent-book,37814,2025-09-09T02:41:44Z,0.93,696,1,2026-08-16T10:55:11Z,2026-08-16T16:13:10Z,0.22,0.0,Python,168,166,0.9881
vlang/v,37795,2019-02-08T02:57:06Z,7.52,13780,304,2026-08-16T14:55:07Z,2026-08-16T12:54:59Z,0.06,0.14,V,10752,10716,0.9967
FreeCodeCampChina/freecodecamp.cn,37776,2016-09-30T03:13:43Z,9.88,55,0,2023-07-16T16:48:59Z,2026-08-16T15:09:10Z,1126.98,0.05,CSS,588,445,0.7568
servo/servo,37709,2012-02-08T19:07:25Z,14.52,25695,13,2026-08-16T15:39:37Z,2026-08-16T15:43:44Z,0.03,0.02,Rust,16324,13405,0.8212
PostHog/posthog,37709,2020-01-23T22:46:58Z,6.56,53954,891,2026-08-16T16:10:39Z,2026-08-16T15:58:53Z,0.0,0.01,Python,10448,7077,0.6774
anthropics/prompt-eng-interactive-tutorial,37682,2024-04-02T15:52:00Z,2.37,1,0,2026-03-01T17:07:40Z,2026-08-16T13:50:14Z,167.96,0.1,Jupyter Notebook,42,4,0.0952
